rendszam	tipus	fajta
FKU934	Volvo 7700A	autóbusz
FKU935	Volvo 7700A	autóbusz
FKU936	Volvo 7700A	autóbusz
FKU937	Volvo 7700A	autóbusz
FKU938	Volvo 7700A	autóbusz
FKU939	Volvo 7700A	autóbusz
FKU940	Volvo 7700A	autóbusz
FKU941	Volvo 7700A	autóbusz
FKU942	Volvo 7700A	autóbusz
FKU943	Volvo 7700A	autóbusz
FKU944	Volvo 7700A	autóbusz
FKU945	Volvo 7700A	autóbusz
FKU946	Volvo 7700A	autóbusz
FKU947	Volvo 7700A	autóbusz
FKU948	Volvo 7700A	autóbusz
FKU949	Volvo 7700A	autóbusz
FKU950	Volvo 7700A	autóbusz
FLR700	Volvo 7700A	autóbusz
FLR701	Volvo 7700A	autóbusz
FLR702	Volvo 7700A	autóbusz
FLR703	Volvo 7700A	autóbusz
FLR704	Volvo 7700A	autóbusz
FLR705	Volvo 7700A	autóbusz
FLR706	Volvo 7700A	autóbusz
FLR707	Volvo 7700A	autóbusz
FLR708	Volvo 7700A	autóbusz
FLR709	Volvo 7700A	autóbusz
FLR710	Volvo 7700A	autóbusz
FLR711	Volvo 7700A	autóbusz
FLR712	Volvo 7700A	autóbusz
FLR713	Volvo 7700A	autóbusz
FLR714	Volvo 7700A	autóbusz
FLR715	Volvo 7700A	autóbusz
FLR716	Volvo 7700A	autóbusz
FLR717	Volvo 7700A	autóbusz
FLR718	Volvo 7700A	autóbusz
FLR719	Volvo 7700A	autóbusz
FLR720	Volvo 7700A	autóbusz
FLR721	Volvo 7700A	autóbusz
FLR722	Volvo 7700A	autóbusz
FLR724	Volvo 7700A	autóbusz
FLR725	Volvo 7700A	autóbusz
FLR726	Volvo 7700A	autóbusz
FLR727	Volvo 7700A	autóbusz
FLR728	Volvo 7700A	autóbusz
FLR729	Volvo 7700A	autóbusz
FLR730	Volvo 7700A	autóbusz
FLR731	Volvo 7700A	autóbusz
FLR732	Volvo 7700A	autóbusz
FLR733	Volvo 7700A	autóbusz
FLR734	Volvo 7700A	autóbusz
FLR735	Volvo 7700A	autóbusz
FLR736	Volvo 7700A	autóbusz
FLR737	Volvo 7700A	autóbusz
FLR738	Volvo 7700A	autóbusz
FLR739	Volvo 7700A	autóbusz
FLR740	Volvo 7700A	autóbusz
FLR741	Volvo 7700A	autóbusz
FLR742	Volvo 7700A	autóbusz
FLR743	Volvo 7700A	autóbusz
FLR744	Volvo 7700A	autóbusz
FLR745	Volvo 7700A	autóbusz
FLR746	Volvo 7700A	autóbusz
FLR747	Volvo 7700A	autóbusz
FLR748	Volvo 7700A	autóbusz
FLR749	Volvo 7700A	autóbusz
GNX339	Ikarus 260	autóbusz
GNX342	Ikarus 260	autóbusz
HFY744	Ikarus 263	autóbusz
HFY745	Ikarus 263	autóbusz
HLF946	Ikarus 263	autóbusz
HUNGÁR	BKV 100 típusú átkelőhajó	autóbusz
IIG954	Irisbus Agora	autóbusz
IVU004	Volvo szóló	autóbusz
IVU005	Volvo szóló	autóbusz
IVU006	Volvo szóló	autóbusz
JNG724	Ikarus 260	autóbusz
KXM004	Volvo Localo	autóbusz
KXM005	Volvo Localo	autóbusz
KXM006	Volvo Localo	autóbusz
KXM008	Volvo Localo	autóbusz
KXM009	Volvo Localo	autóbusz
KXM017	Volvo Localo	autóbusz
KXM018	Volvo Localo	autóbusz
KXM019	Volvo Localo	autóbusz
KXM025	Volvo Localo	autóbusz
KXM027	Volvo Localo	autóbusz
KXM029	Volvo Localo	autóbusz
KXM030	Volvo Localo	autóbusz
KXM032	Volvo Localo	autóbusz
KXM034	Volvo Localo	autóbusz
KXM039	Volvo Localo	autóbusz
KXM040	Volvo Localo	autóbusz
KXM042	Volvo Localo	autóbusz
KXM044	Volvo Localo	autóbusz
KXM045	Volvo Localo	autóbusz
LÁGYMÁ	Vízibusz	hajó
LÁNCHI	BKV 100 típusú átkelőhajó	hajó
LMG002	VOLVO-ALFABUSZ Civis 12	autóbusz
LMG017	VOLVO-ALFABUSZ Civis 12	autóbusz
LMG032	VOLVO-ALFABUSZ Civis 12	autóbusz
LMG049	VOLVO-ALFABUSZ Civis 12	autóbusz
LMG064	VOLVO-ALFABUSZ Civis 12	autóbusz
LMG070	VOLVO-ALFABUSZ Civis 12	autóbusz
LMG074	VOLVO-ALFABUSZ Civis 12	autóbusz
LMG075	VOLVO-ALFABUSZ Civis 12	autóbusz
LMG077	VOLVO-ALFABUSZ Civis 12	autóbusz
LMG080	VOLVO-ALFABUSZ Civis 12	autóbusz
LMG084	VOLVO-ALFABUSZ Civis 12	autóbusz
LMG090	VOLVO-ALFABUSZ Civis 12	autóbusz
LMG095	VOLVO-ALFABUSZ Civis 12	autóbusz
LMG096	VOLVO-ALFABUSZ Civis 12	autóbusz
LOV851	VanHool AG318	autóbusz
LOV852	VanHool AG318	autóbusz
LOV853	VanHool AG318	autóbusz
LOV854	VanHool AG318	autóbusz
LOV855	VanHool AG318	autóbusz
LOV856	VanHool AG318	autóbusz
LOV857	VanHool AG318	autóbusz
LOV858	VanHool AG318	autóbusz
LOV860	VanHool AG318	autóbusz
LOV861	VanHool AG318	autóbusz
LOV862	VanHool AG318	autóbusz
LOV863	VanHool AG318	autóbusz
LOV864	VanHool AG318	autóbusz
LOV865	VanHool AG318	autóbusz
LOV866	VanHool AG318	autóbusz
LOV867	VanHool AG318	autóbusz
LOV868	VanHool AG318	autóbusz
LOV869	VanHool AG318	autóbusz
LOV870	VanHool AG318	autóbusz
LOV871	VanHool AG318	autóbusz
LOV872	VanHool AG318	autóbusz
LOV873	VanHool AG318	autóbusz
LOV874	VanHool AG318	autóbusz
LOV875	VanHool AG318	autóbusz
LOV876	VanHool AG318	autóbusz
LOV877	VanHool AG318	autóbusz
LOV878	VanHool AG318	autóbusz
LOV879	VanHool AG318	autóbusz
LOV880	VanHool AG318	autóbusz
LOV881	VanHool AG318	autóbusz
LOV882	VanHool AG318	autóbusz
LPZ954	Ikarus 405	autóbusz
LRV480	Renault ND Master	autóbusz
LRV481	Renault ND Master	autóbusz
LRV482	Renault ND Master	autóbusz
LRV483	Renault ND Master	autóbusz
LRV484	Renault ND Master	autóbusz
LYH101	MERCEDES Citaro O 530	autóbusz
LYH102	MERCEDES Citaro O 530	autóbusz
LYH103	MERCEDES Citaro O 530	autóbusz
LYH104	MERCEDES Citaro O 530	autóbusz
LYH105	MERCEDES Citaro O 530	autóbusz
LYH106	MERCEDES Citaro O 530	autóbusz
LYH107	MERCEDES Citaro O 530	autóbusz
LYH109	MERCEDES Citaro O 530	autóbusz
LYH110	MERCEDES Citaro O 530	autóbusz
LYH111	MERCEDES Citaro O 530	autóbusz
LYH112	MERCEDES Citaro O 530	autóbusz
LYH114	MERCEDES Citaro O 530	autóbusz
LYH115	MERCEDES Citaro O 530	autóbusz
LYH116	MERCEDES Citaro O 530	autóbusz
LYH118	MERCEDES Citaro O 530	autóbusz
LYH119	MERCEDES Citaro O 530	autóbusz
LYH120	MERCEDES Citaro O 530	autóbusz
LYH122	MERCEDES Citaro O 530	autóbusz
LYH123	MERCEDES Citaro O 530	autóbusz
LYH124	MERCEDES Citaro O 530	autóbusz
LYH125	MERCEDES Citaro O 530	autóbusz
LYH126	MERCEDES Citaro O 530	autóbusz
LYH127	MERCEDES Citaro O 530	autóbusz
LYH128	MERCEDES Citaro O 530	autóbusz
LYH129	MERCEDES Citaro O 530	autóbusz
LYH130	MERCEDES Citaro O 530	autóbusz
LZZ328	Ikarus 405	autóbusz
LZZ332	Ikarus 405	autóbusz
MCA001	VanHool A300	autóbusz
MCA002	VanHool A300	autóbusz
MCA003	VanHool A300	autóbusz
MCA004	VanHool A300	autóbusz
MCA005	VanHool A300	autóbusz
MCA006	VanHool A300	autóbusz
MCA007	VanHool A300	autóbusz
MCA008	VanHool A300	autóbusz
MCA009	VanHool A300	autóbusz
MCA010	VanHool A300	autóbusz
MCA012	VanHool A300	autóbusz
MDD721	Ikarus 187V	autóbusz
MDV381	MERCEDES Citaro O 530	autóbusz
MDV382	MERCEDES Citaro O 530	autóbusz
MDV383	MERCEDES Citaro O 530	autóbusz
MDV384	MERCEDES Citaro O 530	autóbusz
MFW501	Volvo	autóbusz
MFW502	Volvo	autóbusz
MFW503	Volvo	autóbusz
MFW504	Volvo	autóbusz
MFW505	Volvo	autóbusz
MFW506	Volvo	autóbusz
MFW507	Volvo	autóbusz
MFW508	Volvo	autóbusz
MFW509	Volvo	autóbusz
MFW510	Volvo	autóbusz
MFW511	Volvo	autóbusz
MFW512	Volvo	autóbusz
MFW513	Volvo	autóbusz
MFW514	Volvo	autóbusz
MFW515	Volvo	autóbusz
MFW516	Volvo	autóbusz
MFW517	Volvo	autóbusz
MFW518	Volvo	autóbusz
MFW519	Volvo	autóbusz
MFW520	Volvo	autóbusz
MFW521	Volvo	autóbusz
MFW522	Volvo	autóbusz
MFW523	Volvo	autóbusz
MFW524	Volvo	autóbusz
MFW525	Volvo	autóbusz
MFW526	Volvo	autóbusz
MFW527	Volvo	autóbusz
MFW528	Volvo	autóbusz
MFW529	Volvo	autóbusz
MFW530	Volvo	autóbusz
MFW531	Volvo	autóbusz
MFW532	Volvo	autóbusz
MFW533	Volvo	autóbusz
MFW534	Volvo	autóbusz
MFW536	Volvo	autóbusz
MFW537	Volvo	autóbusz
MFW538	Volvo	autóbusz
MHK901	Volvo 7000A	autóbusz
MHK902	Volvo 7000A	autóbusz
MHK903	Volvo 7000A	autóbusz
MHK904	Volvo 7000A	autóbusz
MHK905	Volvo 7000A	autóbusz
MHK906	Volvo 7000A	autóbusz
MHK907	Volvo 7000A	autóbusz
MHK908	Volvo 7000A	autóbusz
MHK909	Volvo 7000A	autóbusz
MHK910	Volvo 7000A	autóbusz
MHK911	Volvo 7000A	autóbusz
MHK912	Volvo 7000A	autóbusz
MHK913	Volvo 7000A	autóbusz
MHK914	Volvo 7000A	autóbusz
MHK915	Volvo 7000A	autóbusz
MHK916	Volvo 7000A	autóbusz
MHK917	Volvo 7000A	autóbusz
MHK918	Volvo 7000A	autóbusz
MHK919	Volvo 7000A	autóbusz
MHK920	Volvo 7000A	autóbusz
MHK921	Volvo 7000A	autóbusz
MHK922	Volvo 7000A	autóbusz
MHK923	Volvo 7000A	autóbusz
MHK924	Volvo 7000A	autóbusz
MHK925	Volvo 7000A	autóbusz
MHU701	MB Citaro C2-S1-G	autóbusz
MHU702	MB Citaro C2-S1-G	autóbusz
MHU703	MB Citaro C2-S1-G	autóbusz
MHU704	MB Citaro C2-S1-G	autóbusz
MHU705	MB Citaro C2-S1-G	autóbusz
MHU706	MB Citaro C2-S1-G	autóbusz
MHU707	MB Citaro C2-S1-G	autóbusz
MHU708	MB Citaro C2-S1-G	autóbusz
MHU709	MB Citaro C2-S1-G	autóbusz
MHU710	MB Citaro C2-S1-G	autóbusz
MHU711	MB Citaro C2-S1-G	autóbusz
MHU712	MB Citaro C2-S1-G	autóbusz
MHU713	MB Citaro C2-S1-G	autóbusz
MHU714	MB Citaro C2-S1-G	autóbusz
MHU715	MB Citaro C2-S1-G	autóbusz
MHU716	MB Citaro C2-S1-G	autóbusz
MHU717	MB Citaro C2-S1-G	autóbusz
MHU718	MB Citaro C2-S1-G	autóbusz
MHU719	MB Citaro C2-S1-G	autóbusz
MHU720	MB Citaro C2-S1-G	autóbusz
MHU721	MB Citaro C2-S1-G	autóbusz
MHU722	MB Citaro C2-S1-G	autóbusz
MHU723	MB Citaro C2-S1-G	autóbusz
MHU724	MB Citaro C2-S1-G	autóbusz
MHU725	MB Citaro C2-S1-G	autóbusz
MHU726	MB Citaro C2-S1-G	autóbusz
MHU727	MB Citaro C2-S1-G	autóbusz
MHU728	MB Citaro C2-S1-G	autóbusz
MHU729	MB Citaro C2-S1-G	autóbusz
MHU730	MB Citaro C2-S1-G	autóbusz
MHU731	MB Citaro C2-S1-G	autóbusz
MHU732	MB Citaro C2-S1-G	autóbusz
MHU733	MB Citaro C2-S1-G	autóbusz
MHU734	MB Citaro C2-S1-G	autóbusz
MHU735	MB Citaro C2-S1-G	autóbusz
MHU736	MB Citaro C2-S1-G	autóbusz
MHU737	MB Citaro C2-S1-G	autóbusz
MHU738	MB Citaro C2-S1-G	autóbusz
MHU739	MB Citaro C2-S1-G	autóbusz
MHU740	MB Citaro C2-S1-G	autóbusz
MHU741	MB Citaro C2-S1-G	autóbusz
MHU742	MB Citaro C2-S1-G	autóbusz
MHU743	MB Citaro C2-S1-G	autóbusz
MHU744	MB Citaro C2-S1-G	autóbusz
MHU745	MB Citaro C2-S1-G	autóbusz
MHU746	MB Citaro C2-S1-G	autóbusz
MHU747	MB Citaro C2-S1-G	autóbusz
MHU748	MB Citaro C2-S1-G	autóbusz
MHU749	MB Citaro C2-S1-G	autóbusz
MHU750	MB Citaro C2-S1-G	autóbusz
MHU751	MB Citaro C2-S1-G	autóbusz
MHU752	MB Citaro C2-S1-G	autóbusz
MHU753	MB Citaro C2-S1-G	autóbusz
MHU754	MB Citaro C2-S1-G	autóbusz
MHU755	MB Citaro C2-S1-G	autóbusz
MHU756	MB Citaro C2-S1-G	autóbusz
MHU757	MB Citaro C2-S1-G	autóbusz
MHU758	MB Citaro C2-S1-G	autóbusz
MHU759	MB Citaro C2-S1-G	autóbusz
MHU760	MB Citaro C2-S1-G	autóbusz
MHU761	MB Citaro C2-S1-G	autóbusz
MHU762	MB Citaro C2-S1-G	autóbusz
MHU763	MB Citaro C2-S1-G	autóbusz
MHU764	MB Citaro C2-S1-G	autóbusz
MHU765	MB Citaro C2-S1-G	autóbusz
MHU766	MB Citaro C2-S1-G	autóbusz
MHU767	MB Citaro C2-S1-G	autóbusz
MHU768	MB Citaro C2-S1-G	autóbusz
MHU769	MB Citaro C2-S1-G	autóbusz
MHU770	MB Citaro C2-S1-G	autóbusz
MHU771	MB Citaro C2-S1-G	autóbusz
MHU772	MB Citaro C2-S1-G	autóbusz
MHU773	MB Citaro C2-S1-G	autóbusz
MHU774	MB Citaro C2-S1-G	autóbusz
MHU775	MB Citaro C2-S1-G	autóbusz
MHU776	MB Citaro C2-S1-G	autóbusz
MHU777	MB Citaro C2-S1-G	autóbusz
MHU778	MB Citaro C2-S1-G	autóbusz
MHU779	MB Citaro C2-S1-G	autóbusz
MHU780	MB Citaro C2-S1-G	autóbusz
MHU801	MB Citaro C2-S1	autóbusz
MHU802	MB Citaro C2-S1	autóbusz
MHU803	MB Citaro C2-S1	autóbusz
MHU804	MB Citaro C2-S1	autóbusz
MHU805	MB Citaro C2-S1	autóbusz
MHU806	MB Citaro C2-S1	autóbusz
MHU807	MB Citaro C2-S1	autóbusz
MHU808	MB Citaro C2-S1	autóbusz
MHU809	MB Citaro C2-S1	autóbusz
MHU810	MB Citaro C2-S1	autóbusz
MHU811	MB Citaro C2-S1	autóbusz
MHU812	MB Citaro C2-S1	autóbusz
MHU813	MB Citaro C2-S1	autóbusz
MHU814	MB Citaro C2-S1	autóbusz
MHU815	MB Citaro C2-S1	autóbusz
MHU816	MB Citaro C2-S1	autóbusz
MHU817	MB Citaro C2-S1	autóbusz
MHU818	MB Citaro C2-S1	autóbusz
MHU819	MB Citaro C2-S1	autóbusz
MHU820	MB Citaro C2-S1	autóbusz
MHU821	MB Citaro C2-S1	autóbusz
MHU822	MB Citaro C2-S1	autóbusz
MHU823	MB Citaro C2-S1	autóbusz
MHU824	MB Citaro C2-S1	autóbusz
MHU825	MB Citaro C2-S1	autóbusz
MHU826	MB Citaro C2-S1	autóbusz
MHU827	MB Citaro C2-S1	autóbusz
MHU828	MB Citaro C2-S1	autóbusz
MHU829	MB Citaro C2-S1	autóbusz
MHU830	MB Citaro C2-S1	autóbusz
MHU831	MB Citaro C2-S1	autóbusz
MHU832	MB Citaro C2-S1	autóbusz
